choices,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Instructions.started,Instructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text.started,text.stopped,rating.response,rating.rt,rating.started,rating.stopped,key_resp_2.keys,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,9.554383468988817,None,space,1.1885727740009315,9.554383468988817,None,,,,,,,,,,999,001,2019_Oct_24_2145,choiceText,3.1.5,59.927689332063196,
"Going on a first date 
to the movies",0,0,0,20,,,,,,,10.850712149986066,None,$0.03,4.346,0.04566427701502107,None,None,10.850712149986066,None,999,001,2019_Oct_24_2145,choiceText,3.1.5,59.927689332063196,
"Going dancing with
a significant other",0,1,1,21,,,,,,,15.231969097978435,None,$0.03,0.669,0.027915604005102068,None,None,15.231969097978435,None,999,001,2019_Oct_24_2145,choiceText,3.1.5,59.927689332063196,
"Playing ping-pong
with friends",0,2,2,22,,,,,,,15.94804091900005,None,$0.03,0.887,0.026205548987491056,None,None,15.94804091900005,None,999,001,2019_Oct_24_2145,choiceText,3.1.5,59.927689332063196,
Posting Instagram stories,0,3,3,33,,,,,,,16.88142289800453,None,$0.03,0.639,0.025090706010814756,None,None,16.88142289800453,None,999,001,2019_Oct_24_2145,choiceText,3.1.5,59.927689332063196,
Becoming "InstaFamous",0,4,4,36,,,,,,,17.56422327598557,None,$0.03,0.738,0.027152086986461654,None,None,17.56422327598557,None,999,001,2019_Oct_24_2145,choiceText,3.1.5,59.927689332063196,
Snapchat your friends to keep your "Snapstreaks",0,5,5,51,,,,,,,18.349150127003668,None,$0.03,0.7,0.0276955789886415,None,None,18.349150127003668,None,999,001,2019_Oct_24_2145,choiceText,3.1.5,59.927689332063196,
"Taking your friend 
on a cruise",0,6,6,6,,,,,,,19.098560797981918,None,$0.03,0.636,0.026689519989304245,None,None,19.098560797981918,None,999,001,2019_Oct_24_2145,choiceText,3.1.5,59.927689332063196,
"Walking around Central 
Park with family",0,7,7,13,,,,,,,19.784739119990263,None,$0.03,0.582,0.028413749998435378,None,None,19.784739119990263,None,999,001,2019_Oct_24_2145,choiceText,3.1.5,59.927689332063196,
Having hundreds of friends on Facebook,0,8,8,59,,,,,,,20.43238197499886,None,$0.03,0.929,0.03152964499895461,None,None,20.43238197499886,None,999,001,2019_Oct_24_2145,choiceText,3.1.5,59.927689332063196,
"Taking a family member
 on a shopping trip",0,9,9,0,,,,,,,21.41779984498862,None,$0.03,0.534,0.029911325982538983,None,None,21.41779984498862,None,999,001,2019_Oct_24_2145,choiceText,3.1.5,59.927689332063196,
Getting 1 million subscribers on Youtube,0,10,10,23,,,,,,,22.016702085995348,None,$0.03,0.51,0.030408820020966232,None,None,22.016702085995348,None,999,001,2019_Oct_24_2145,choiceText,3.1.5,59.927689332063196,
"Celebrating holidays 
with family",0,11,11,37,,,,,,,22.565820021001855,None,$0.03,0.787,0.02627732398104854,None,None,22.565820021001855,None,999,001,2019_Oct_24_2145,choiceText,3.1.5,59.927689332063196,
